canonicalKey,canonicalLnCd,canonicalName,canonicalMreaWideCd,sourceLineNumber,sourceLineName,role
01:A1,A1,공항철도,01,I28A1,인천국제공항선,main
01:K5,K5,경강선,01,I41K5,경강선,main
01:K4,K4,경의중앙선,01,I4108,경의·중앙선,main
01:K2,K2,경춘선,01,I41K2,경춘선,main
01:G1,G1,김포골드라인,01,L41G1,김포도시철도,main
01:1,1,1호선,01,I4101,수도권  광역철도 1호선,main
01:1,1,1호선,01,I4102,경원선,branch
01:1,1,1호선,01,I1101,경인선,branch
01:1,1,1호선,01,I4101,경부선,branch
01:2,2,2호선,01,S1102,수도권  도시철도 2호선,main
01:2,2,2호선,01,S1121,수도권  도시철도 2호선,branch
01:2,2,2호선,01,S1122,수도권  도시철도 2호선,branch
01:3,3,3호선,01,I1103,수도권  광역철도 3호선,main
01:4,4,4호선,01,I1104,수도권  광역철도 4호선,main
01:4,4,4호선,01,I4103,안산·과천선,branch
01:5,5,5호선,01,S1105,수도권  도시철도 5호선,main
01:6,6,6호선,01,S1106,수도권  도시철도 6호선,main
01:7,7,7호선,01,S1107,수도권  도시철도 7호선,main
01:7,7,7호선,01,S1107,도시철도 7호선,branch
01:8,8,8호선,01,S1108,수도권  도시철도 8호선,main
01:8,8,8호선,01,S4108,수도권 전철 8호선,branch
01:9,9,9호선,01,S1109,서울 도시철도 9호선,main
01:K1,K1,수인분당선,01,I28K1,수인선,branch
01:K1,K1,수인분당선,01,I28K1,분당선,branch
01:D1,D1,신분당선,01,I11D1,신분당선,main
01:L1,L1,신림선,01,L11SL,수도권 경량도시철도 신림선,main
01:E1,E1,용인에버라인,01,L41E1,수도권  경량도시철도 에버라인,main
01:UI,UI,우이신설선,01,L11UI,수도권 경량도시철도 우이신설선,main
01:U1,U1,의정부 경전철,01,L41U1,의정부,main
01:I1,I1,인천1호선,01,S2801,인천지하철 1호선,main
01:I2,I2,인천2호선,01,S2802,인천지하철 2호선,main
01:M1,M1,자기부상,01,S28M1,자기부상철도,main
01:WS,WS,서해선,01,I41WS,서해선,main
02:1,1,부산1호선,02,S2601,부산 도시철도 1호선,main
02:2,2,부산2호선,02,S2602,부산 도시철도 2호선,main
02:3,3,부산3호선,02,S2603,부산 도시철도 3호선,main
02:4,4,부산4호선,02,L2604,부산 경량도시철도 4호선,main
02:B1,B1,부산김해경전철,02,L48B1,부산김해경전철,main
03:1,1,대구1호선,03,S2701,대구 도시철도 1호선,main
03:2,2,대구2호선,03,S2702,대구 도시철도 2호선,main
03:3,3,대구3호선,03,S2703,대구 도시철도 3호선,main
04:1,1,광주1호선,04,S2901,광주 도시철도 1호선,main
05:1,1,대전1호선,05,S3001,대전 도시철도 1호선,main
